"","weeks","temperature.avg","temperature.me","max","min","lower.CI","upper.CI"
"1",1,0.20158386230471,0.0927066167205188,0.698663330078148,0.100000000000023,0.108877245584191,0.294290479025229
"2",2,0.137016296386741,0.0404225011679543,0.451593017578148,0.100000000000023,0.0965937952187871,0.177438797554696
"3",3,0.108085632324241,0.00778642421873075,0.174279785156273,0.100000000000023,0.100299208105511,0.115872056542972
"4",4,0.102110290527366,0.0017506186891408,0.114312744140648,0.100000000000023,0.100359671838226,0.103860909216507
"5",5,0.104669189453148,0.00425645836691953,0.141870117187523,0.100000000000023,0.100412731086228,0.108925647820067
"6",6,0.10136413574221,0.00202081800659203,0.120416259765648,0.100000000000023,0.0993433177356182,0.103384953748802
"7",7,0.104299926757835,0.00393104476516833,0.133203125000023,0.100000000000023,0.100368881992667,0.108230971523004
"8",8,0.100474548339866,0.000833086384879578,0.108514404296898,0.100000000000023,0.0996414619549869,0.101307634724746
"9",9,0.102801513671898,0.00443896326787616,0.144647216796898,0.100000000000023,0.0983625504040216,0.107240476939774
"10",10,0.102964782714866,0.00525849155985261,0.153680419921898,0.100000000000023,0.0977062911550139,0.108223274274719
"11",11,0.100065612792991,0.000128598711143833,0.101312255859398,0.100000000000023,0.0999370140818477,0.100194211504135
"12",12,0.100000000000023,0,0.100000000000023,0.100000000000023,0.100000000000023,0.100000000000023
"13",13,0.10364685058596,0.00714769580543629,0.172937011718773,0.100000000000023,0.0964991547805239,0.110794546391397
"14",14,0.280130004882835,0.253661057017176,2.57906494140627,0.100000000000023,0.0264689478656596,0.533791061900011
"15",15,0.760575866699241,0.769697177206551,6.2206970214844,0.100000000000023,-0.00912131050730958,1.53027304390579
"16",16,1.99444885253909,1.37319810709113,10.6755004882813,0.100000000000023,0.621250745447951,3.36764695963022
"17",17,2.92678070068362,1.54100947142486,10.7345825195313,0.100000000000023,1.38577122925876,4.46779017210847
"18",18,5.77935638427737,1.72717578508322,13.3483825683594,0.100000000000023,4.05218059919414,7.50653216936059
"19",19,8.96399383544924,1.86815547670803,16.2965026855469,0.100000000000023,7.09583835874121,10.8321493121573
"20",20,10.2838195800781,1.71124228014356,16.0998168945313,0.510797119140648,8.57257729993459,11.9950618602217
"21",21,12.0489181518555,1.14105382075819,17.5147644042969,7.44930419921877,10.9078643310973,13.1899719726137
"22",22,14.0191680908203,1.26141725680287,18.941064453125,8.97292480468752,12.7577508340175,15.2805853476232
"23",23,15.3512741088867,0.978399466728368,20.6236511230469,11.5439086914063,14.3728746421584,16.3296735756151
"24",24,17.0221862792969,0.800396957733596,20.947412109375,13.5201049804688,16.2217893215633,17.8225832370305
"25",25,18.2891098022461,0.965987184426835,23.0326171875,15.5090576171875,17.3231226178193,19.2550969866729
"26",26,19.4440231323242,0.970311424846092,22.8174377441406,15.6754089355469,18.4737117074781,20.4143345571703
"27",27,20.2315841674805,0.876573734304746,24.1727233886719,16.4094787597656,19.3550104331757,21.1081579017852
"28",28,20.771533203125,1.0093266107215,24.8885437011719,16.472802734375,19.7622065924035,21.7808598138465
"29",29,21.5675247192383,1.0626907490947,26.0646911621094,17.0875793457031,20.5048339701436,22.630215468333
"30",30,21.7267211914063,0.957465759713155,25.2677856445313,17.4302307128906,20.7692554316931,22.6841869511194
"31",31,22.0156509399414,0.926407430085328,24.5673461914063,17.2156311035156,21.0892435098561,22.9420583700268
"32",32,21.8893096923828,0.782206761687866,25.7188659667969,19.1553588867188,21.107102930695,22.6715164540707
"33",33,21.6025161743164,0.660036680764464,23.6260314941406,18.9673095703125,20.942479493552,22.2625528550809
"34",34,21.1677062988281,0.628043359122244,23.9819274902344,19.1366516113281,20.5396629397059,21.7957496579504
"35",35,20.8800018310547,0.610976171122709,23.5058532714844,18.2051330566406,20.269025659932,21.4909780021774
"36",36,19.2705581665039,0.582466734121075,21.7398010253906,16.3742004394531,18.6880914323829,19.853024900625
"37",37,18.5774963378906,0.762861844550886,21.85830078125,14.2499328613281,17.8146344933398,19.3403581824415
"38",38,17.1634201049805,0.797607850566921,19.9200378417969,13.3529296875,16.3658122544136,17.9610279555474
"39",39,15.0174072265625,0.933333303647281,19.1335388183594,10.6019226074219,14.0840739229152,15.9507405302098
"40",40,12.7069793701172,0.989785868143214,17.9568420410156,8.47091064453127,11.717193501974,13.6967652382604
"41",41,11.0293212890625,0.968671943799467,15.4021545410156,6.55938110351565,10.0606493452631,11.997993232862
"42",42,9.65099792480471,0.61061527964239,12.7543273925781,7.0562683105469,9.04038264516232,10.2616132044471
"43",43,8.43885955810549,0.842150974712656,11.3375183105469,4.6376892089844,7.59670858339284,9.28101053281815
"44",44,7.0916702270508,0.673111341781439,9.6270690917969,4.2298522949219,6.41855888526936,7.76478156883224
"45",45,4.49806823730471,0.6926524880346,7.21254882812502,1.90398559570315,3.80541574927011,5.19072072533931
"46",46,3.34051666259768,0.698517126474184,7.26030883789065,0.992547607421898,2.6419995361235,4.03903378907186
"47",47,2.68950347900393,0.924020901725261,6.3763366699219,0.104058837890648,1.76548257727867,3.61352438072919
"48",48,1.52269134521487,0.605420779844172,4.98186645507815,0.100000000000023,0.917270565370694,2.12811212505904
"49",49,1.06128082275393,0.617411432036963,5.29238281250002,0.100000000000023,0.443869390716966,1.67869225479089
"50",50,0.554161071777367,0.38070645236411,3.3504577636719,0.100000000000023,0.173454619413257,0.934867524141476
"51",51,0.350610351562523,0.237610403585658,2.02041015625002,0.100000000000023,0.112999947976865,0.588220755148181
"52",52,0.271156311035179,0.156598626501189,1.17534790039065,0.100000000000023,0.11455768453399,0.427754937536368
