"","months","temp.avg","temp.me","max","min","lower.CI","upper.CI"
"1",1,0.159519958496116,0.0301672524037771,0.305871582031273,0.100000000000023,0.129352706092339,0.189687210899894
"2",2,0.355862426757835,0.133150781449554,1.15252075195315,0.100000000000023,0.222711645308282,0.489013208207389
"3",3,1.50036773681643,0.290409982726962,3.14190063476565,0.511315917968773,1.20995775408947,1.79077771954339
"4",4,6.35300750732424,0.732018165472592,10.0875183105469,3.58233032226565,5.62098934185165,7.08502567279683
"5",5,13.5627487182617,0.901825988366776,17.4229064941406,9.84414062500002,12.660922729895,14.4645747066285
"6",6,19.3214157104492,0.718472036518639,21.7654052734375,16.6196838378906,18.6029436739306,20.0398877469679
"7",7,21.5802703857422,0.722269309675764,23.8109069824219,17.2657104492188,20.8580010760664,22.302539695418
"8",8,20.4292922973633,0.657167918886041,22.4502807617188,17.6490112304688,19.7721243784773,21.0864602162493
"9",9,15.5168380737305,0.727417533987051,18.3446594238281,11.5918518066406,14.7894205397434,16.2442556077175
"10",10,7.4944290161133,0.732369451417634,9.73830566406252,4.1359802246094,6.76205956469567,8.22679846753094
"11",11,1.66600646972659,0.593314420879266,5.80611572265627,0.233636474609398,1.07269204884732,2.25932089060585
"12",12,0.211814880371116,0.0654886993291057,0.708612060546898,0.100000000000023,0.146326181042011,0.277303579700222
