"","weeks","temperature.avg","temperature.me","max","min","lower.CI","upper.CI"
"1",1,4.07959747314455,0.505775693362793,5.1328063964844,1.01934204101565,3.57382177978176,4.58537316650735
"2",2,4.21995391845705,0.483432555171274,5.28951416015627,0.802026367187523,3.73652136328578,4.70338647362833
"3",3,3.65835418701174,0.672244421630662,5.64882812500002,0.813104248046898,2.98610976538108,4.3305986086424
"4",4,3.94087982177737,0.520080298297538,5.76690063476565,1.72414550781252,3.42079952347983,4.4609601200749
"5",5,3.66076507568362,0.506497953928755,5.60738525390627,1.17620239257815,3.15426712175486,4.16726302961237
"6",6,3.48500823974612,0.6383541098761,5.57027587890627,0.909844970703148,2.84665412987002,4.12336234962222
"7",7,3.85909423828127,0.544073924802865,5.48714599609377,0.880181884765648,3.31502031347841,4.40316816308414
"8",8,3.42895812988284,0.794544207795323,5.79744873046877,0.361505126953148,2.63441392208751,4.22350233767816
"9",9,4.20062713623049,0.698404357846776,6.72457275390627,0.148004150390648,3.50222277838372,4.89903149407727
"10",10,4.99006500244143,0.809303242732053,8.7855163574219,0.268579101562523,4.18076175970938,5.79936824517348
"11",11,5.54749298095705,1.01176425178402,10.6129089355469,0.262536621093773,4.53572872917303,6.55925723274108
"12",12,6.03218078613284,0.791773895287104,8.7409606933594,0.784326171875023,5.24040689084573,6.82395468141994
"13",13,7.95411682128909,0.759393299112654,11.0880065917969,4.07134399414065,7.19472352217643,8.71351012040174
"14",14,8.9430114746094,0.746132382838613,11.9932189941406,6.78585205078127,8.19687909177078,9.68914385744801
"15",15,9.54558563232424,0.615378806859445,11.7747436523438,7.74520263671877,8.9302068254648,10.1609644391837
"16",16,10.6345993041992,0.809541220329502,15.3098693847656,8.46993408203127,9.82505808386974,11.4441405245287
"17",17,11.0749664306641,0.733844995463547,15.0400939941406,8.31557617187502,10.3411214352005,11.8088114261276
"18",18,12.1450668334961,0.703507626835944,15.6071105957031,9.42656860351565,11.4415592066602,12.8485744603321
"19",19,13.7555740356446,0.831719821512105,17.7261596679688,10.640283203125,12.9238542141324,14.5872938571567
"20",20,14.6590896606446,0.824427123816859,18.2931762695313,10.4428649902344,13.8346625368277,15.4835167844614
"21",21,15.0760635375977,0.717087261324581,17.3187194824219,12.1073852539063,14.3589762762731,15.7931507989223
"22",22,16.0901229858399,0.852432689709032,19.2131286621094,13.0244995117188,15.2376902961308,16.9425556755489
"23",23,17.0000915527344,0.734567285700148,21.1343933105469,14.5875793457031,16.2655242670342,17.7346588384345
"24",24,18.3324890136719,0.613341332150431,21.9963317871094,16.2275024414063,17.7191476815215,18.9458303458223
"25",25,18.9282791137696,0.592077000036287,21.1326538085938,16.4305358886719,18.3362021137333,19.5203561138058
"26",26,19.2707626342774,0.873388426833724,22.5494934082031,15.8957458496094,18.3973742074436,20.1441510611111
"27",27,19.6253890991211,0.569430657082101,22.3431030273438,17.4290710449219,19.055958442039,20.1948197562032
"28",28,19.7820632934571,0.648295076631335,23.3599792480469,17.4890075683594,19.1337682168257,20.4303583700884
"29",29,20.3038406372071,0.660250081082826,23.3182922363281,17.6466918945313,19.6435905561242,20.9640907182899
"30",30,20.1645248413086,0.684353584257058,23.2384887695313,17.2002502441406,19.4801712570516,20.8488784255657
"31",31,20.0496109008789,0.758735557528247,22.9309936523438,16.7777954101563,19.2908753433507,20.8083464584072
"32",32,19.4117584228516,0.82277368934936,23.130517578125,17.0652404785156,18.5889847335022,20.2345321122009
"33",33,19.2792617797852,0.759231677105019,22.8720336914063,16.6419921875,18.5200301026802,20.0384934568902
"34",34,18.7466979980469,0.536462273484389,20.9834838867188,16.1613708496094,18.2102357245625,19.2831602715313
"35",35,18.9380691528321,0.576512525743938,20.5064331054688,16.0034118652344,18.3615566270881,19.514581678576
"36",36,17.8821212768555,0.598599069995073,19.7607055664063,15.1116882324219,17.2835222068604,18.4807203468506
"37",37,17.3864654541016,0.588735268659791,20.3892456054688,14.7200866699219,16.7977301854418,17.9752007227614
"38",38,16.2256622314453,0.662776325327829,18.9460388183594,13.8171325683594,15.5628859061175,16.8884385567732
"39",39,14.7194396972656,0.693676176073469,17.5723510742188,12.0710083007813,14.0257635211922,15.4131158733391
"40",40,13.3986526489258,0.704097438578999,16.9669738769531,10.2446838378906,12.6945552103468,14.1027500875048
"41",41,12.0114730834961,0.639987912530822,15.4533020019531,9.4835144042969,11.3714851709653,12.6514609960269
"42",42,11.2834091186524,0.512192614690111,12.9932800292969,9.51165161132815,10.7712165039623,11.7956017333425
"43",43,10.4412994384766,0.606699752548785,13.3909545898438,8.08944091796877,9.8345996859278,11.0479991910254
"44",44,9.78287811279299,0.607173966586831,11.8733459472656,6.97591552734377,9.17570414620616,10.3900520793798
"45",45,7.77615661621096,0.68031118390803,10.0576721191406,4.25948486328127,7.09584543230293,8.45646780011899
"46",46,6.83899688720705,0.586021711469316,9.3487487792969,3.71465454101565,6.25297517573774,7.42501859867637
"47",47,6.5207229614258,0.668430053209066,8.99749145507815,4.4096618652344,5.85229290821674,7.18915301463487
"48",48,5.94312896728518,0.610590259968581,9.12908325195315,3.8286071777344,5.3325387073166,6.55371922725376
"49",49,5.37948150634768,0.72480475763432,10.5640502929688,3.71248779296877,4.65467674871336,6.104286263982
"50",50,4.6918395996094,0.384071060649975,6.53206787109377,2.89980468750002,4.30776853895942,5.07591066025937
"51",51,4.49577789306643,0.295394536738692,5.67095336914065,3.3946472167969,4.20038335632774,4.79117242980512
"52",52,4.29058990478518,0.387813696646784,5.41387329101565,1.56328735351565,3.9027762081384,4.67840360143196
