"","months","temp.avg","temp.me","max","min","lower.CI","upper.CI"
"1",1,1.86405487060549,0.382646808709716,3.09383544921877,0.185052490234398,1.48140806189578,2.24670167931521
"2",2,1.3295364379883,0.518259377559394,4.35378417968752,0.221643066406273,0.81127706042891,1.8477958155477
"3",3,3.8610305786133,0.91539281588505,7.44240722656252,0.319696044921898,2.94563776272825,4.77642339449835
"4",4,11.0454513549805,0.650081799654493,13.3869873046875,8.44185791015627,10.395369555326,11.695533154635
"5",5,16.7207763671875,0.880731295545802,19.4061218261719,12.5812622070313,15.8400450716417,17.6015076627333
"6",6,21.8630615234375,0.838913155278947,25.4959350585938,18.9660888671875,21.0241483681586,22.7019746787165
"7",7,24.2003479003906,0.873369452768485,28.4472290039063,21.0168701171875,23.3269784476222,25.0737173531591
"8",8,23.209164428711,0.732214690419331,26.6842590332031,21.2058959960938,22.4769497382916,23.9413791191303
"9",9,19.5812942504883,0.637138431024305,22.3612915039063,17.0319152832031,18.944155819464,20.2184326815126
"10",10,12.8041442871094,0.454172617215796,14.3327270507813,10.7656494140625,12.3499716698936,13.2583169043252
"11",11,6.6786087036133,0.597710413565834,9.7084899902344,4.28652343750002,6.08089829004747,7.27631911717914
"12",12,2.96521453857424,0.5333119050554,5.92153320312502,0.997033691406273,2.43190263351884,3.49852644362964
