"","weeks","temperature.avg","temperature.me","max","min","lower.CI","upper.CI"
"1",1,1.71746826171877,0.601410193765959,4.82198486328127,0.100000000000023,1.11605806795281,2.31887845548473
"2",2,1.61065979003909,0.444033357629779,3.38143310546877,0.100000000000023,1.16662643240931,2.05469314766886
"3",3,1.68886718750002,0.669106056691981,6.10039672851565,0.100000000000023,1.01976113080804,2.357973244192
"4",4,1.5720153808594,0.601318882600705,4.54827270507815,0.100000000000023,0.970696498258692,2.1733342634601
"5",5,1.20227508544924,0.474222394794328,4.0834899902344,0.100000000000023,0.728052690654914,1.67649748024357
"6",6,1.15310363769534,0.544347831927897,4.79494628906252,0.100000000000023,0.608755805767438,1.69745146962323
"7",7,1.15843963623049,0.490424529833405,3.5180603027344,0.100000000000023,0.668015106397086,1.6488641660639
"8",8,1.23647155761721,0.661026754240056,4.4871765136719,0.100000000000023,0.575444803377154,1.89749831185727
"9",9,1.53350982666018,0.676616991520869,4.60051879882815,0.100000000000023,0.85689283513931,2.21012681818105
"10",10,2.80123596191409,0.972382890227907,7.24843750000002,0.100000000000023,1.82885307168618,3.77361885214199
"11",11,3.68695068359377,1.30510008144658,12.4563232421875,0.100000000000023,2.38185060214719,4.99205076504035
"12",12,3.84871215820315,0.938950195660008,8.7396179199219,0.100000000000023,2.90976196254314,4.78766235386316
"13",13,7.14922790527346,1.31790840304514,13.0565124511719,0.100000000000023,5.83131950222832,8.4671363083186
"14",14,7.65787506103518,1.097175873766,11.9652954101563,2.6614929199219,6.56069918726918,8.75505093480118
"15",15,8.59539489746096,0.879228865745239,12.3779846191406,5.71343383789065,7.71616603171572,9.4746237632062
"16",16,10.5898864746094,0.976922861752118,16.9731994628906,7.16777954101565,9.61296361285728,11.5668093363615
"17",17,11.0549682617188,0.904129696971295,16.417138671875,7.84417114257815,10.1508385647475,11.9590979586901
"18",18,12.4111633300781,1.00699915865339,17.5834594726563,8.74678955078127,11.4041641714248,13.4181624887315
"19",19,14.3508682250977,1.07836161402213,19.6888061523438,9.73439941406252,13.2725066110756,15.4292298391198
"20",20,15.4941528320313,1.21300228816901,19.6941772460938,10.2267700195313,14.2811505438623,16.7071551202003
"21",21,16.1294860839844,1.05898545249875,21.5559936523438,12.1385437011719,15.0705006314857,17.1884715364831
"22",22,17.8723236083985,1.35095915867213,23.3563781738281,13.9416442871094,16.5213644497263,19.2232827670706
"23",23,19.0839675903321,1.09084341418236,25.2477355957031,15.3533569335938,17.9931241761497,20.1748110045144
"24",24,21.3449859619141,0.974276578073186,25.1384826660156,17.0163513183594,20.3707093838409,22.3192625399873
"25",25,22.4634674072266,1.11406041445315,28.4305053710938,19.6542907714844,21.3494069927734,23.5775278216797
"26",26,23.2203247070313,1.15150161173331,27.6410461425781,18.9099060058594,22.068823095298,24.3718263187646
"27",27,23.6545867919922,0.840243034956092,28.3024841308594,21.0584350585938,22.8143437570361,24.4948298269483
"28",28,24.13935546875,0.992280069660228,30.4056945800781,21.2782836914063,23.1470753990898,25.1316355384103
"29",29,24.6000961303711,1.07829146295846,28.178857421875,20.1486145019531,23.5218046674127,25.6783875933296
"30",30,24.6240341186524,0.921842278599255,28.0097595214844,20.3836303710938,23.7021918400531,25.5458763972516
"31",31,24.3402755737305,1.09533113437329,29.3816772460938,18.9580627441406,23.2449444393572,25.4356067081038
"32",32,23.7283065795899,1.12615333108595,29.0087829589844,20.0114379882813,22.6021532485039,24.8544599106758
"33",33,23.9187713623047,1.10323951544038,27.97060546875,18.7959533691406,22.8155318468643,25.0220108777451
"34",34,22.5619506835938,0.781602592178119,25.1661926269531,18.9756713867188,21.7803480914157,23.3435532757719
"35",35,22.4896499633789,0.872433488596766,25.6199890136719,18.3425842285156,21.6172164747822,23.3620834519757
"36",36,20.9715042114258,0.838703322020349,24.8956237792969,17.0840698242188,20.1328008894055,21.8102075334462
"37",37,20.4198547363281,0.672209392713524,23.1910339355469,17.5821166992188,19.7476453436146,21.0920641290417
"38",38,18.8612319946289,0.997778922136552,22.881005859375,14.5393615722656,17.8634530724924,19.8590109167655
"39",39,16.8773681640625,0.874326400507673,20.0843139648438,14.1466613769531,16.0030417635549,17.7516945645702
"40",40,14.9305709838867,1.04709475068219,19.910302734375,10.0835510253906,13.8834762332046,15.9776657345689
"41",41,13.2937149047852,1.02638580040889,17.5596252441406,8.4666687011719,12.2673291043763,14.3201007051941
"42",42,12.1538635253906,0.571110317930708,14.8819519042969,9.80645141601565,11.5827532074599,12.7249738433214
"43",43,10.7489929199219,1.14807604318438,16.7009216308594,6.9377380371094,9.60091687673752,11.8970689631063
"44",44,9.21285247802737,0.903621161263783,12.216943359375,5.23211059570315,8.30923131676358,10.1164736392912
"45",45,7.22720184326174,0.979297316373547,11.4681030273438,1.25563964843752,6.24790452688819,8.20649915963529
"46",46,5.9331497192383,0.994766409772373,9.92452392578127,1.6796813964844,4.93838330946593,6.92791612901068
"47",47,5.53005981445315,1.22096358394573,11.3554626464844,1.34942016601565,4.30909623050742,6.75102339839888
"48",48,4.78709564208987,0.943987274833409,9.06524047851565,1.82476196289065,3.84310836725646,5.73108291692328
"49",49,3.50895233154299,1.14011064700216,9.9052673339844,0.282769775390648,2.36884168454083,4.64906297854516
"50",50,2.46912689208987,0.732947936843141,4.84243164062502,0.100000000000023,1.73617895524673,3.20207482893301
"51",51,2.2548782348633,0.600927361931919,4.73442993164065,0.130975341796898,1.65395087293138,2.85580559679522
"52",52,1.84846343994143,0.613584514674975,5.02388916015627,0.157617187500023,1.23487892526645,2.4620479546164
