"","weeks","temperature.avg","temperature.me","max","min","lower.CI","upper.CI"
"1",1,1.95012512207034,0.647469574898232,5.21993408203127,0.100000000000023,1.3026555471721,2.59759469696857
"2",2,1.71890716552737,0.446421342610849,3.5004821777344,0.309045410156273,1.27248582291652,2.16532850813822
"3",3,1.77532501220705,0.521427648089956,3.82988891601565,0.109277343750023,1.2538973641171,2.29675266029701
"4",4,1.7432815551758,0.552255879871346,4.47210083007815,0.136651611328148,1.19102567530446,2.29553743504715
"5",5,1.5583679199219,0.467833646414742,4.13970336914065,0.112695312500023,1.09053427350716,2.02620156633664
"6",6,1.84485015869143,0.585996563011897,4.52544555664065,0.262536621093773,1.25885359567953,2.43084672170333
"7",7,1.70325622558596,0.493300777356703,3.46795043945315,0.293420410156273,1.20995544822926,2.19655700294266
"8",8,1.44516296386721,0.606148160365409,4.63479003906252,0.100000000000023,0.839014803501802,2.05131112423262
"9",9,2.1424514770508,0.767317394830477,5.88930664062502,0.100000000000023,1.37513408222033,2.90976887188128
"10",10,3.2093460083008,0.981004375101853,8.1140075683594,0.100000000000023,2.22834163319895,4.19035038340266
"11",11,3.89594421386721,1.25492511514534,12.8613830566406,0.100000000000023,2.64101909872187,5.15086932901255
"12",12,4.32803039550784,0.798412057664044,7.94265136718752,0.100000000000023,3.52961833784379,5.12644245317188
"13",13,7.18192291259768,1.21840674234424,13.5338989257813,0.292535400390648,5.96351617025344,8.40032965494192
"14",14,7.83158264160159,1.07604756265446,11.7336364746094,4.64510498046877,6.75553507894713,8.90763020425604
"15",15,8.55259246826174,1.01008122498547,12.645654296875,3.02559814453127,7.54251124327628,9.56267369324721
"16",16,10.4773681640625,1.01907626196552,15.9353881835938,7.6162048339844,9.45829190209701,11.496444426028
"17",17,10.8891906738281,1.08525400578479,17.5700317382813,6.54448852539065,9.80393666804336,11.9744446796129
"18",18,12.301513671875,1.01756611682974,17.5160461425781,8.97109375000002,11.2839475550453,13.3190797887048
"19",19,14.2511474609375,1.12280989651647,19.0830932617188,8.92144165039065,13.128337564421,15.373957357454
"20",20,15.483659362793,1.13809421689272,21.1603332519531,10.4835754394531,14.3455651459003,16.6217535796857
"21",21,15.6678894042969,0.9495969285267,20.6513305664063,12.9508911132813,14.7182924757702,16.6174863328236
"22",22,17.5227615356446,1.25023230193595,22.7994934082031,13.0804992675781,16.2725292337086,18.7729938375805
"23",23,18.6629867553711,1.0031722946061,23.6404663085938,15.6307312011719,17.659814460765,19.6661590499772
"24",24,20.5756149291992,0.800982117706479,23.1260314941406,16.6206604003906,19.7746328114928,21.3765970469057
"25",25,21.5680297851563,0.913691479443935,26.44228515625,18.6082092285156,20.6543383057123,22.4817212646002
"26",26,22.0412460327149,1.07076448884293,27.1596313476563,17.2979370117188,20.9704815438719,23.1120105215578
"27",27,22.6829010009766,0.794245083165072,27.0372863769531,19.6896301269531,21.8886559178115,23.4771460841417
"28",28,23.102799987793,0.91300157574217,28.2996765136719,20.26650390625,22.1897984120508,24.0158015635352
"29",29,23.7558059692383,1.05472947582021,27.4492736816406,19.3695617675781,22.7010764934181,24.8105354450585
"30",30,23.6609603881836,0.917022604830185,28.0936218261719,20.484765625,22.7439377833534,24.5779829930138
"31",31,23.5277923583985,1.12367625862567,28.3417297363281,18.0411315917969,22.4041160997728,24.6514686170241
"32",32,22.85380859375,1.04496784016811,27.6429992675781,20.3790832519531,21.8088407535819,23.8987764339181
"33",33,23.2061065673828,1.1498240814012,27.890283203125,18.4419494628906,22.0562824859816,24.355930648784
"34",34,22.4319091796875,0.803846004041292,25.0397888183594,17.2655578613281,21.6280631756462,23.2357551837288
"35",35,21.9707550048828,0.891623019983162,24.8734680175781,17.5098815917969,21.0791319848997,22.862378024866
"36",36,20.8627075195313,0.787353579673307,24.90615234375,18.2459655761719,20.075353939858,21.6500610992046
"37",37,19.9576919555664,0.739352987729317,23.5850769042969,17.4930053710938,19.2183389678371,20.6970449432957
"38",38,18.4174575805664,0.865347758874478,21.7449279785156,14.6748596191406,17.5521098216919,19.2828053394409
"39",39,16.70888671875,0.995460819031433,19.9483581542969,13.6196838378906,15.7134258997186,17.7043475377815
"40",40,14.7818450927735,1.02528597852699,19.8921752929688,9.68670043945315,13.7565591142465,15.8071310713005
"41",41,13.1888290405274,0.963164788741092,17.4353881835938,9.01735839843752,12.2256642517863,14.1519938292685
"42",42,12.0836318969727,0.715241517784166,15.2775512695313,9.7733093261719,11.3683903791885,12.7988734147568
"43",43,10.7450225830078,1.12644058183677,16.2342163085938,6.40541992187502,9.61858200117106,11.8714631648446
"44",44,9.60876464843752,0.891307732852734,12.6545043945313,5.68193969726565,8.71745691558479,10.5000723812903
"45",45,7.3323181152344,0.964945726625286,11.112451171875,1.59224853515627,6.36737238860911,8.29726384185968
"46",46,6.1230407714844,0.921887623906183,10.1310668945313,1.97554931640627,5.20115314757822,7.04492839539058
"47",47,5.53681488037112,1.10468817656151,10.352197265625,1.7150817871094,4.43212670380961,6.64150305693263
"48",48,4.63543701171877,0.800538999027852,9.00554809570315,2.0729919433594,3.83489801269092,5.43597601074663
"49",49,3.36697692871096,1.07090364728544,9.65044555664065,0.921502685546898,2.29607328142552,4.4378805759964
"50",50,2.38611602783205,0.63270529007161,5.19411621093752,0.332238769531273,1.75341073776044,3.01882131790366
"51",51,2.2214309692383,0.529961822607419,4.63851318359377,0.335046386718773,1.69146914663089,2.75139279184572
"52",52,1.83254089355471,0.436121040008504,3.74355468750002,0.145623779296898,1.39641985354621,2.26866193356321
