"","location","fold","test_year","linear","nonlinear","seasonal","futureS","air2stream"
"1","allegheny",1,2012,41.029338207131,27.8853037818051,37.2443547490701,48.6152459520538,32.0259320453243
"2","allegheny",2,2013,50.0264542143453,38.4871064911878,73.8276278203605,39.1104373911745,25.0230643435149
"3","allegheny",3,2015,48.0607096351887,38.550308414433,73.1922778950556,29.4821328069588,21.3359733451492
"4","allegheny",4,2016,38.5207769632568,25.7322374491078,73.2521280527575,40.118326528042,2.31588594436341
"5","allegheny",5,2017,45.843855153141,33.2232039457577,59.5233891548626,50.1546869438469,6.28722743904297
"6","bigcreek",1,2003,-2.99401199409467,0.268518148766622,41.2863756973644,67.1190677695134,-4.65678266160921
"7","bigcreek",2,2005,39.3533484051763,26.1759211242077,39.6371509445469,61.100275838735,31.0910894773695
"8","bigcreek",3,2006,3.02683027846446,2.43562993563015,42.3152974784573,65.1402301562638,-9.28284703326925
"9","bigcreek",4,2007,21.1198138962475,11.5526649435763,36.0692086834975,64.9965980867377,17.4888929092887
"10","bigcreek",5,2008,21.2850922660424,13.9524275975545,39.0743211947633,56.6431018385214,16.7632979293085
"11","genesee",1,2011,29.4919887324794,16.4193208806577,27.335817386741,44.6801484189212,17.4856780342789
"12","genesee",2,2012,29.7821791255267,18.8681039080294,53.8775463816294,51.2054962486637,30.5358512094122
"13","genesee",3,2013,13.6520430818304,6.52744958312556,46.8642446784161,44.3658102486278,13.9360621368381
"14","genesee",4,2017,23.9603481512199,11.79569766781,33.9336375698351,52.0238087195782,2.25159368322723
"15","genesee",5,2019,4.0394034269505,-4.25229561430993,16.0278518774033,30.2847661583587,2.74422882768537
"16","humber",1,2000,32.6745537904277,8.68053717769021,42.0112800989314,56.6082324233145,-2.11454410395699
"17","humber",2,2001,40.9825929069278,13.1115615833763,49.4374727611193,63.4964509868621,-3.56084517557801
"18","humber",3,2005,47.4686641347294,25.9614676552498,53.09402647488,70.5955723861006,6.87519966522229
"19","humber",4,2008,43.6161990698325,16.2115731132946,46.2459415707596,33.7273083055611,17.6890474419264
"20","humber",5,2009,37.6665813311008,18.6179283247324,32.0875770032852,33.9731978394351,10.5321858455639
"21","rifle",1,2014,33.0627217116013,14.790383881685,39.9039457261142,59.7429491586465,3.58734653837412
"22","rifle",2,2016,48.8570855045271,17.4367218277048,50.6705864557165,57.83968020716,11.4033690579084
"23","rifle",3,2017,45.3236823492992,11.9876963009756,55.8663483284691,32.5968094164234,6.48010839826213
"24","rifle",4,2018,44.4118838734881,10.1880803014827,54.2247503520238,25.0041561806846,5.31932238499117
"25","rifle",5,2019,39.8208701693512,7.24610072070489,48.2430483379013,67.5539028231104,-3.50101414478422
"26","saginaw",1,2012,48.717183534426,18.8169510422259,66.927285691241,51.6125545845917,23.6384742850958
"27","saginaw",2,2014,42.1063644532184,20.6514425290245,22.218419365557,23.5515740380084,15.8044770354619
"28","saginaw",3,2016,9.88510870726741,-0.667780258953824,29.3363455177184,35.3211284518619,1.1289161876562
"29","saginaw",4,2017,34.0013958832645,15.1273723724811,32.499597414272,56.4200093419971,10.9930702143364
"30","saginaw",5,2018,23.2099513849498,4.80257653169788,38.1373324385845,54.8388501048114,11.1512691302314
"31","salmontrout",1,2010,27.0923444817235,8.77911295154027,41.0540050559028,40.7249562509958,-4.00774778974315
"32","salmontrout",2,2011,16.287989413354,6.01780780502964,49.4312946817946,47.452575422219,35.0583671349657
"33","salmontrout",3,2014,25.4749095527254,15.2191158649186,50.8681220630278,51.1088515531599,44.0940401907031
"34","salmontrout",4,2017,8.01981717344271,0.437862296585499,51.4557220854712,45.6598396638687,14.2095284834888
"35","salmontrout",5,2019,22.5712586588307,9.42291568342285,55.074213545777,54.7847945280746,30.771545612622
"36","stjoseph",1,2013,36.0458434007301,7.41233759734884,37.7905946495239,29.1714163970584,11.1497749140648
"37","stjoseph",2,2016,3.66010389616131,-1.27878872594573,28.7884002492502,50.9956844923313,-6.18971361135288
"38","stjoseph",3,2017,18.3237239147469,7.80102158330197,35.9716427910376,46.3768701509604,2.32764591761026
"39","stjoseph",4,2018,13.1762523345819,6.67209885914444,37.9339149363686,64.1887262856677,6.63206975104216
"40","stjoseph",5,2019,37.0494026293387,7.44064959136449,34.7318529120652,38.363452253035,9.30706697539184
"41","stlouis",1,2011,15.8704870520071,17.2060288560617,39.9411968772645,48.3326438802563,21.770666079937
"42","stlouis",2,2012,22.0283600294102,12.414049934481,49.2337046542741,47.8050791652836,8.68756942909067
"43","stlouis",3,2013,36.7239502001852,26.8132031753002,42.6043234728604,30.4940590158551,21.0740766771924
"44","stlouis",4,2016,18.1870936214559,10.0280903844928,48.3435156191585,38.0243242292216,7.15099660292949
"45","stlouis",5,2018,13.4908684471063,7.3994227513792,51.5606388067846,52.2551208828555,6.91590237399717
"46","yellowr",1,2013,21.7588519584977,19.2017044091332,33.6151320330705,16.5159545808697,10.0460696168746
"47","yellowr",2,2015,20.6875504999581,12.5729480768062,44.5550732107591,44.4780701189282,9.97845062823977
"48","yellowr",3,2016,29.8197297916612,17.7166357557634,26.1171730059777,42.5883809413557,7.3834136891896
"49","yellowr",4,2017,27.7447599187132,13.9356957345507,36.0738207480793,53.5704807563881,4.5904662828971
"50","yellowr",5,2019,23.6333479321549,16.713303012759,28.3166769168454,20.1000155910212,6.55320993958772
