"","week","obs","preds","location","year","preds.futureS"
"1",14,2.12857142857143,5.75422495002437,"allegheny",2015,0.100000000000023
"2",15,3.28571428571429,8.41112680494504,"allegheny",2015,0.100000000000023
"3",16,4.97142857142857,9.78130494449188,"allegheny",2015,0.100000000000023
"4",17,6.34285714285714,7.4966161729587,"allegheny",2015,0.100000000000023
"5",18,7.15714285714286,9.10930145161746,"allegheny",2015,4.74703369140627
"6",19,9.92857142857143,15.2127344138643,"allegheny",2015,8.45028076171877
"7",20,11.6857142857143,13.7092450122505,"allegheny",2015,11.7056213378906
"8",21,12.3,11.7778952841789,"allegheny",2015,12.7509094238281
"9",22,14.8571428571429,15.0192299155608,"allegheny",2015,11.9257751464844
"10",23,14.9142857142857,13.5751163455395,"allegheny",2015,13.1307006835938
"11",24,13.5142857142857,16.3488303641764,"allegheny",2015,12.7265563964844
"12",25,16.3285714285714,16.8128646262429,"allegheny",2015,15.8096862792969
"13",26,17.1571428571429,15.3232880920825,"allegheny",2015,16.2622619628906
"14",27,16.3428571428571,14.6347052112851,"allegheny",2015,17.4584899902344
"15",28,17.6428571428571,16.3867719450221,"allegheny",2015,18.6442199707031
"16",29,18.9285714285714,16.8231858499894,"allegheny",2015,19.2926879882813
"17",14,9.14285714285714,10.6415845627217,"stjoseph",2016,1.94875488281252
"18",15,7.78571428571429,7.081122287938,"stjoseph",2016,2.50032958984377
"19",16,14.8,13.8523425655751,"stjoseph",2016,4.80104980468752
"20",17,16.4571428571429,17.5298931293133,"stjoseph",2016,10.9533630371094
"21",18,13.2142857142857,13.6338374213072,"stjoseph",2016,12.4807983398438
"22",19,15.2857142857143,14.7691264336506,"stjoseph",2016,8.65813598632815
"23",20,14.9428571428571,15.4999117249206,"stjoseph",2016,13.0178771972656
"24",21,18.8142857142857,16.8948014292359,"stjoseph",2016,21.9883972167969
"25",22,22.9714285714286,23.5669204042377,"stjoseph",2016,20.0856872558594
"26",23,22.0142857142857,22.3587018822575,"stjoseph",2016,28.3789916992188
"27",24,22.6714285714286,23.0437307628353,"stjoseph",2016,21.8561950683594
"28",25,24.0714285714286,24.4136468369864,"stjoseph",2016,19.9122863769531
"29",26,24.0571428571429,24.233172929816,"stjoseph",2016,23.0111022949219
"30",27,22.8714285714286,23.0024146266967,"stjoseph",2016,27.0114379882813
"31",28,24.8571428571429,24.6140739704591,"stjoseph",2016,27.3391052246094
"32",29,25.1285714285714,24.8341968143167,"stjoseph",2016,30.4334350585938
