"","linear","seasonal","nonlinear","future"
"bigcreek",0.34,1.3,0.23,0.09
"bigotter",-1.29,2.45,-1.59,1.59
"fox",0.3,-2.07,0.08,-0.84
"genesee",-0.57,-1.51,-1.29,1.04
"humber",-0.2,-1.8,-0.83,-2.84
"mississagi",0.29,1.05,-0.4,1.42
"nipigon",1.17,2.52,-0.98,-1.9
"portage",-2.8,-4.38,-2.41,-1.75
"saginaw",-2.3,-1.8,-0.54,-1.14
"still",1.36,-4.22,1.82,-4.94
"stlouis",0.97,-0.04,2.01,-1.03
"vermilion",0.15,0.26,0.01,-0.91
