"","location","fold","test_year","linear","nonlinear","seasonal","futureS","air2stream"
"1","allegheny",1,2012,-1.28000912045843,-1.16531342762873,1.50792011553716,-3.04349610464913,-1.835145135054
"2","allegheny",2,2013,1.21247419076371,1.27020088663427,5.54471723129555,-1.85748062133787,0.768940677942756
"3","allegheny",3,2015,1.20489537062452,1.16817044365722,5.55004214220015,-1.51134316580635,1.10062725023757
"4","allegheny",4,2016,-0.456607872288854,-0.23287997115591,5.57409113917082,-2.3947590964181,-0.0234558609835382
"5","allegheny",5,2017,-0.276451511419252,-0.204035703828843,3.59791117801228,-4.39687647138321,-0.759955112557791
"6","bigcreek",1,2003,0.0458847089463439,0.323681250066811,1.20994672954687,-6.82860955374579,0.355286525963532
"7","bigcreek",2,2005,1.81812527556706,1.61876349637813,1.12747257864168,-6.25748573303221,1.6319096687516
"8","bigcreek",3,2006,-0.0270828825055118,-0.02910923323454,0.476247727887646,-6.31126293727328,-0.197381047933785
"9","bigcreek",4,2007,-1.0542675332745,-0.845085104817835,-0.108468773978853,-6.44559339250835,-1.13290508756834
"10","bigcreek",5,2008,-1.0724953321458,-1.13371529820847,-0.182201594463497,-3.99862048557825,-1.09462212198757
"11","genesee",1,2011,0.470347976751764,0.48637296691573,0.20917962040865,-2.97172415597096,0.340169679009135
"12","genesee",2,2012,-1.23970938211131,-1.29657171210293,-2.69902017462172,-3.93386159624371,-1.70131436908768
"13","genesee",3,2013,0.118014685042099,0.120896140324764,-1.90757911635148,-2.75192342485699,-0.123796389938233
"14","genesee",4,2017,0.739554129524736,0.650307110939121,-1.35524648137225,-4.0611646379743,0.495400330305433
"15","genesee",5,2019,0.102633263274055,0.02782553857997,-0.410878214379746,-1.20044065202983,0.109969323897175
"16","humber",1,2000,-1.54243139514567,0.468872067230162,-1.85863151747201,-5.25925500052315,0.169666413384953
"17","humber",2,2001,-1.95559124372553,-0.00826961938461013,-2.40336983340719,-6.71896238054547,-0.273577159838629
"18","humber",3,2005,-2.26035801013169,-0.908993229935441,-2.63060062791665,-8.11132723127091,-0.595319910421812
"19","humber",4,2008,-1.9342785450868,0.0150805383862722,-1.95694618647406,-1.3645570373535,-0.0835114738838022
"20","humber",5,2009,-1.49425987034713,0.184510823858412,-0.372298432768529,1.18352810450964,0.00518394970018304
"21","rifle",1,2014,-0.0537668018581338,0.648505723926752,-1.78190785394097,3.51792836870469,0.44992031399012
"22","rifle",2,2016,-2.52002265351143,-0.66766029047432,-2.63336591353569,4.77379411969868,-0.813833048947721
"23","rifle",3,2017,-2.14974763654336,-0.121159290423482,-2.75922122920551,1.14613745553153,-0.322057329560451
"24","rifle",4,2018,-2.09946578645397,-0.117079794035248,-2.77290372675177,0.160912214006713,-0.306113745727334
"25","rifle",5,2019,-1.74170428056658,0.0862138529501337,-2.3372020369407,7.69607298714776,0.308703932885118
"26","saginaw",1,2012,-2.70300961967232,-1.11817211353104,-4.38784770425476,1.99179878234866,-1.24618536708277
"27","saginaw",2,2014,1.81246752245441,1.19076971128726,-0.600625935159406,0.576809801374179,0.916156634031353
"28","saginaw",3,2016,-0.283828277240342,-0.154160951607034,-0.943863330286752,0.350475474766348,-0.404708846431598
"29","saginaw",4,2017,1.38440898466668,0.434565249668612,-0.939869222218621,-4.3847563607352,0.231426967666451
"30","saginaw",5,2018,-0.402766840838001,-0.0903364179740345,-0.812535387149418,-3.34550955636159,-0.437152555055335
"31","salmontrout",1,2010,-1.46090313319225,0.372760534968983,0.210137245704414,4.16492898123607,0.14255401513747
"32","salmontrout",2,2011,-0.559542144431649,-0.356712712326543,3.20371124308961,5.45261499314083,-2.66954416718311
"33","salmontrout",3,2014,-0.019898153132249,0.16689413397301,3.20570356332664,7.54213627406532,-3.83628332298051
"34","salmontrout",4,2017,-0.477926509897051,-0.284032396886495,3.42947464003016,5.70078350248792,-1.09178250634509
"35","salmontrout",5,2019,0.883042748983705,0.170799895981658,4.49176430902544,9.20834227062408,-2.18853863978066
"36","stjoseph",1,2013,-1.5858249497297,-0.592531037649534,-1.45581962052286,-0.244606563023139,-0.547700283674939
"37","stjoseph",2,2016,0.0314682636252631,0.0552352185345945,-0.859683064463056,-1.54429795401435,-0.233954495272282
"38","stjoseph",3,2017,0.17064606304838,-0.14692586573688,-1.0796629116897,-2.81636325291222,-0.387127901867303
"39","stjoseph",4,2018,0.100194091150366,-0.0296825172018458,-1.26636509743811,-5.73688621520994,-0.272703160343814
"40","stjoseph",5,2019,1.79664189618804,0.72387071396257,-0.860682855248766,-0.587554659162222,0.58904569203831
"41","stlouis",1,2011,-0.289389327002631,-1.20175090988043,-1.83335237421971,-7.14189126150946,-0.960100608023266
"42","stlouis",2,2012,0.872683577715676,0.537203102551044,-3.46188740467743,-6.94507780529202,-0.212279099433453
"43","stlouis",3,2013,1.24082252126881,1.26277466644389,-1.87171747870934,-2.54558025541757,1.02677285324437
